ji,siann,un,tiau,pheng
"𪑖","邊","君","上平","pun1"
"𪒰","邊","君","上平","pun1"
"君","求","君","上平","kun1"
"褌","求","君","上平","kun1"
"裩","求","君","上平","kun1"
"軍","求","君","上平","kun1"
"坤","氣","君","上平","khun1"
"昆","氣","君","上平","khun1"
"崑","氣","君","上平","khun1"
"蜫","氣","君","上平","khun1"
"鯤","氣","君","上平","khun1"
"髡","氣","君","上平","khun1"
"鵾","氣","君","上平","khun1"
"囷","氣","君","上平","khun1"
"菌","氣","君","上平","khun1"
"麕","氣","君","上平","khun1"
"峮","氣","君","上平","khun1"
"琨","氣","君","上平","khun1"
"焜","氣","君","上平","khun1"
"敦","地","君","上平","tun1"
"墩","地","君","上平","tun1"
"憞","地","君","上平","tun1"
"𡼖","地","君","上平","tun1"
"迍","地","君","上平","tun1"
"芚","地","君","上平","tun1"
"諄","地","君","上平","tun1"
"燉","地","君","上平","tun1"
"噋","地","君","上平","tun1"
"窀","地","君","上平","tun1"
"鈍","地","君","上平","tun1"
"奔","頗","君","上平","phun1"
"犇","頗","君","上平","phun1"
"賁","頗","君","上平","phun1"
"噴","頗","君","上平","phun1"
"歕","頗","君","上平","phun1"
"𧾜","頗","君","上平","phun1"
"䊩","頗","君","上平","phun1"
"吞","他","君","上平","thun1"
"焞","他","君","上平","thun1"
"椿","他","君","上平","thun1"
"暾","他","君","上平","thun1"
"涒","他","君","上平","thun1"
"䡅","他","君","上平","thun1"
"𪎶","他","君","上平","thun1"
"僎","曾","君","上平","tsun1"
"𠊨","曾","君","上平","tsun1"
"尊","曾","君","上平","tsun1"
"樽","曾","君","上平","tsun1"
"罇","曾","君","上平","tsun1"
"遵","曾","君","上平","tsun1"
"嶟","曾","君","上平","tsun1"
"蹲","曾","君","上平","tsun1"
"惇","曾","君","上平","tsun1"
"屯","曾","君","上平","tsun1"
"肫","曾","君","上平","tsun1"
"窀","曾","君","上平","tsun1"
"諄","曾","君","上平","tsun1"
"啍","曾","君","上平","tsun1"
"噂","曾","君","上平","tsun1"
"鱒","曾","君","上平","tsun1"
"𤁩","曾","君","上平","tsun1"
"孫","時","君","上平","sun1"
"蓀","時","君","上平","sun1"
"猻","時","君","上平","sun1"
"飧","時","君","上平","sun1"
"飱","時","君","上平","sun1"
"槂","時","君","上平","sun1"
"温","英","君","上平","un1"
"溫","英","君","上平","un1"
"氳","英","君","上平","un1"
"熅","英","君","上平","un1"
"瘟","英","君","上平","un1"
"薀","英","君","上平","un1"
"馧","英","君","上平","un1"
"豱","英","君","上平","un1"
"鰮","英","君","上平","un1"
"蒕","英","君","上平","un1"
"㬈","英","君","上平","un1"
"春","出","君","上平","tshun1"
"村","出","君","上平","tshun1"
"邨","出","君","上平","tshun1"
"萅","出","君","上平","tshun1"
"𣈤","出","君","上平","tshun1"
"分","喜","君","上平","hun1"
"昏","喜","君","上平","hun1"
"昬","喜","君","上平","hun1"
"婚","喜","君","上平","hun1"
"惛","喜","君","上平","hun1"
"惽","喜","君","上平","hun1"
"閽","喜","君","上平","hun1"
"熏","喜","君","上平","hun1"
"薰","喜","君","上平","hun1"
"燻","喜","君","上平","hun1"
"曛","喜","君","上平","hun1"
"矄","喜","君","上平","hun1"
"醺","喜","君","上平","hun1"
"獯","喜","君","上平","hun1"
"臐","喜","君","上平","hun1"
"塤","喜","君","上平","hun1"
"壎","喜","君","上平","hun1"
"勳","喜","君","上平","hun1"
"勛","喜","君","上平","hun1"
"葷","喜","君","上平","hun1"
"煇","喜","君","上平","hun1"
"焄","喜","君","上平","hun1"
"芬","喜","君","上平","hun1"
"氛","喜","君","上平","hun1"
"棼","喜","君","上平","hun1"
"雰","喜","君","上平","hun1"
"紛","喜","君","上平","hun1"
"梤","喜","君","上平","hun1"
"殙","喜","君","上平","hun1"
"㱪","喜","君","上平","hun1"
"馚","喜","君","上平","hun1"
"緍","喜","君","上平","hun1"
"痻","喜","君","上平","hun1"
"烟","喜","君","上平","hun1"
"纁","喜","君","上平","hun1"
"𠉣","喜","君","上平","hun1"
"汾","喜","君","上平","hun1"
"㤻","柳","君","上上","lun2"
"稐","柳","君","上上","lun2"
"耣","柳","君","上上","lun2"
"忍","柳","君","上上","lun2"
"碖","柳","君","上上","lun2"
"輑","柳","君","上上","lun2"
"本","邊","君","上上","pun2"
"𤲙","邊","君","上上","pun2"
"畚","邊","君","上上","pun2"
"滾","求","君","上上","kun2"
"袞","求","君","上上","kun2"
"㨰","求","君","上上","kun2"
"䜇","求","君","上上","kun2"
"緄","求","君","上上","kun2"
"呁","求","君","上上","kun2"
"鯀","求","君","上上","kun2"
"𦓼","求","君","上上","kun2"
"侰","求","君","上上","kun2"
"僒","求","君","上上","kun2"
"𨎊","求","君","上上","kun2"
"捆","氣","君","上上","khun2"
"丨","氣","君","上上","khun2"
"窘","氣","君","上上","khun2"
"捃","氣","君","上上","khun2"
"悃","氣","君","上上","khun2"
"懇","氣","君","上上","khun2"
"𢡆","氣","君","上上","khun2"
"豤","氣","君","上上","khun2"
"綑","氣","君","上上","khun2"
"稇","氣","君","上上","khun2"
"裍","氣","君","上上","khun2"
"墾","氣","君","上上","khun2"
"梱","氣","君","上上","khun2"
"閫","氣","君","上上","khun2"
"壼","氣","君","上上","khun2"
"𦓾","氣","君","上上","khun2"
"僒","氣","君","上上","khun2"
"盾","地","君","上上","tun2"
"伅","地","君","上上","tun2"
"楯","地","君","上上","tun2"
"䃦","地","君","上上","tun2"
"𦯁","地","君","上上","tun2"
"撪","頗","君","上上","phun2"
"翸","頗","君","上上","phun2"
"栩","頗","君","上上","phun2"
"呠","頗","君","上上","phun2"
"𠱥","頗","君","上上","phun2"
"氽","他","君","上上","thun2"
"𢚺","他","君","上上","thun2"
"黗","他","君","上上","thun2"
"腯","他","君","上上","thun2"
"𦝬","他","君","上上","thun2"
"准","曾","君","上上","tsun2"
"凖","曾","君","上上","tsun2"
"𠟃","曾","君","上上","tsun2"
"撙","曾","君","上上","tsun2"
"僔","曾","君","上上","tsun2"
"準","曾","君","上上","tsun2"
"隼","曾","君","上上","tsun2"
"鶽","曾","君","上上","tsun2"
"鱒","曾","君","上上","tsun2"
"噂","曾","君","上上","tsun2"
"繜","曾","君","上上","tsun2"
"損","時","君","上上","sun2"
"榫","時","君","上上","sun2"
"筍","時","君","上上","sun2"
"笋","時","君","上上","sun2"
"簨","時","君","上上","sun2"
"允","英","君","上上","un2"
"𠃔","英","君","上上","un2"
"狁","英","君","上上","un2"
"吮","英","君","上上","un2"
"隕","英","君","上上","un2"
"殞","英","君","上上","un2"
"傊","英","君","上上","un2"
"穩","英","君","上上","un2"
"賱","英","君","上上","un2"
"䪳","英","君","上上","un2"
"愪","英","君","上上","un2"
"磒","英","君","上上","un2"
"刎","文","君","上上","bun2"
"吻","文","君","上上","bun2"
"蚊","文","君","上上","bun2"
"蚉","文","君","上上","bun2"
"瞞","文","君","上上","bun2"
"伆","文","君","上上","bun2"
"𦮶","文","君","上上","bun2"
"脗","文","君","上上","bun2"
"抆","文","君","上上","bun2"
"㥃","文","君","上上","bun2"
"捫","文","君","上上","bun2"
"忖","出","君","上上","tshun2"
"偆","出","君","上上","tshun2"
"僢","出","君","上上","tshun2"
"舛","出","君","上上","tshun2"
"荈","出","君","上上","tshun2"
"瞬","出","君","上上","tshun2"
"喘","出","君","上上","tshun2"
"賰","出","君","上上","tshun2"
"蠢","出","君","上上","tshun2"
"𧎌","出","君","上上","tshun2"
"㖺","出","君","上上","tshun2"
"𥬫","出","君","上上","tshun2"
"粉","喜","君","上上","hun2"
"佷","喜","君","上上","hun2"
"很","喜","君","上上","hun2"
"坋","喜","君","上上","hun2"
"坌","喜","君","上上","hun2"
"忿","喜","君","上上","hun2"
"倱","喜","君","上上","hun2"
"黺","喜","君","上上","hun2"
"𪑕","喜","君","上上","hun2"
"僨","喜","君","上上","hun2"
"吩","喜","君","上上","hun2"
"惲","喜","君","上上","hun2"
"憤","喜","君","上上","hun2"
"㤻","柳","君","上去","lun3"
"溣","柳","君","上去","lun3"
"棍","求","君","上去","kun3"
"𧬪","求","君","上去","kun3"
"䵪","求","君","上去","kun3"
"困","氣","君","上去","khun3"
"𡻨","氣","君","上去","khun3"
"㫻","氣","君","上去","khun3"
"睏","氣","君","上去","khun3"
"頓","地","君","上去","tun3"
"扽","地","君","上去","tun3"
"䔚","地","君","上去","tun3"
"吩","頗","君","上去","phun3"
"𠴮","頗","君","上去","phun3"
"喯","頗","君","上去","phun3"
"逩","頗","君","上去","phun3"
"泍","頗","君","上去","phun3"
"噴","頗","君","上去","phun3"
"𤶕","他","君","上去","thun3"
"褪","他","君","上去","thun3"
"飩","他","君","上去","thun3"
"𪑒","他","君","上去","thun3"
"俊","曾","君","上去","tsun3"
"儁","曾","君","上去","tsun3"
"雋","曾","君","上去","tsun3"
"峻","曾","君","上去","tsun3"
"𡼕","曾","君","上去","tsun3"
"懏","曾","君","上去","tsun3"
"狻","曾","君","上去","tsun3"
"竣","曾","君","上去","tsun3"
"浚","曾","君","上去","tsun3"
"逡","曾","君","上去","tsun3"
"濬","曾","君","上去","tsun3"
"畯","曾","君","上去","tsun3"
"餕","曾","君","上去","tsun3"
"駿","曾","君","上去","tsun3"
"鱒","曾","君","上去","tsun3"
"睃","曾","君","上去","tsun3"
"圳","曾","君","上去","tsun3"
"鋑","曾","君","上去","tsun3"
"舜","時","君","上去","sun3"
"𠊫","時","君","上去","sun3"
"蕣","時","君","上去","sun3"
"巽","時","君","上去","sun3"
"遜","時","君","上去","sun3"
"孫","時","君","上去","sun3"
"瞚","時","君","上去","sun3"
"橓","時","君","上去","sun3"
"瞬","時","君","上去","sun3"
"𢁅","時","君","上去","sun3"
"潠","時","君","上去","sun3"
"噀","時","君","上去","sun3"
"慍","英","君","上去","un3"
"蘊","英","君","上去","un3"
"搵","英","君","上去","un3"
"縕","英","君","上去","un3"
"醞","英","君","上去","un3"
"韞","英","君","上去","un3"
"溫","英","君","上去","un3"
"寸","出","君","上去","tshun3"
"訓","喜","君","上去","hun3"
"僨","喜","君","上去","hun3"
"𦘶","喜","君","上去","hun3"
"馴","喜","君","上去","hun3"
"𥂙","喜","君","上去","hun3"
"奮","喜","君","上去","hun3"
"糞","喜","君","上去","hun3"
"爋","喜","君","上去","hun3"
"不","邊","君","上入","put4"
"扒","邊","君","上入","put4"
"朳","邊","君","上入","put4"
"骨","求","君","上入","kut4"
"榾","求","君","上入","kut4"
"𥠳","求","君","上入","kut4"
"窟","氣","君","上入","khut4"
"㵠","氣","君","上入","khut4"
"堀","氣","君","上入","khut4"
"詘","氣","君","上入","khut4"
"𡼿","氣","君","上入","khut4"
"屈","氣","君","上入","khut4"
"𦁐","氣","君","上入","khut4"
"𦜇","氣","君","上入","khut4"
"㑁","地","君","上入","tut4"
"咄","地","君","上入","tut4"
"㤕","地","君","上入","tut4"
"飿","地","君","上入","tut4"
"昢","頗","君","上入","phut4"
"朏","頗","君","上入","phut4"
"𥩾","頗","君","上入","phut4"
"䭯","頗","君","上入","phut4"
"㛘","頗","君","上入","phut4"
"怵","他","君","上入","thut4"
"𢬳","他","君","上入","thut4"
"禿","他","君","上入","thut4"
"頹","他","君","上入","thut4"
"䠈","他","君","上入","thut4"
"黜","他","君","上入","thut4"
"痜","他","君","上入","thut4"
"卒","曾","君","上入","tsut4"
"倅","曾","君","上入","tsut4"
"卆","曾","君","上入","tsut4"
"䘚","曾","君","上入","tsut4"
"捽","曾","君","上入","tsut4"
"窋","曾","君","上入","tsut4"
"率","時","君","上入","sut4"
"恤","時","君","上入","sut4"
"𠌭","時","君","上入","sut4"
"䢦","時","君","上入","sut4"
"戌","時","君","上入","sut4"
"㖅","時","君","上入","sut4"
"窣","時","君","上入","sut4"
"卹","時","君","上入","sut4"
"賉","時","君","上入","sut4"
"帥","時","君","上入","sut4"
"蟀","時","君","上入","sut4"
"𩘱","時","君","上入","sut4"
"𠞩","時","君","上入","sut4"
"熨","英","君","上入","ut4"
"菀","英","君","上入","ut4"
"鬱","英","君","上入","ut4"
"欝","英","君","上入","ut4"
"叞","英","君","上入","ut4"
"殟","英","君","上入","ut4"
"𩑦","英","君","上入","ut4"
"𢺴","英","君","上入","ut4"
"𡨿","英","君","上入","ut4"
"𩰪","英","君","上入","ut4"
"𠝑","英","君","上入","ut4"
"爩","英","君","上入","ut4"
"魩","文","君","上入","but4"
"𡼘","語","君","上入","gut4"
"矻","語","君","上入","gut4"
"𤟎","語","君","上入","gut4"
"出","出","君","上入","tshut4"
"齣","出","君","上入","tshut4"
"乀","喜","君","上入","hut4"
"弗","喜","君","上入","hut4"
"彿","喜","君","上入","hut4"
"佛","喜","君","上入","hut4"
"拂","喜","君","上入","hut4"
"𢂀","喜","君","上入","hut4"
"怫","喜","君","上入","hut4"
"咈","喜","君","上入","hut4"
"唿","喜","君","上入","hut4"
"綍","喜","君","上入","hut4"
"紼","喜","君","上入","hut4"
"紱","喜","君","上入","hut4"
"袚","喜","君","上入","hut4"
"韍","喜","君","上入","hut4"
"黻","喜","君","上入","hut4"
"祓","喜","君","上入","hut4"
"髴","喜","君","上入","hut4"
"惚","喜","君","上入","hut4"
"忽","喜","君","上入","hut4"
"囫","喜","君","上入","hut4"
"笏","喜","君","上入","hut4"
"甶","喜","君","上入","hut4"
"𡱽","喜","君","上入","hut4"
"𢝻","喜","君","上入","hut4"
"曶","喜","君","上入","hut4"
"䝆","喜","君","上入","hut4"
"𧰮","喜","君","上入","hut4"
"𩖼","喜","君","上入","hut4"
"颰","喜","君","上入","hut4"
"㪄","喜","君","上入","hut4"
"䬍","喜","君","上入","hut4"
"歘","喜","君","上入","hut4"
"艴","喜","君","上入","hut4"
"輪","柳","君","下平","lun5"
"侖","柳","君","下平","lun5"
"倫","柳","君","下平","lun5"
"圇","柳","君","下平","lun5"
"崙","柳","君","下平","lun5"
"崘","柳","君","下平","lun5"
"掄","柳","君","下平","lun5"
"腀","柳","君","下平","lun5"
"綸","柳","君","下平","lun5"
"論","柳","君","下平","lun5"
"淪","柳","君","下平","lun5"
"㖮","柳","君","下平","lun5"
"歕","邊","君","下平","pun5"
"群","求","君","下平","kun5"
"宭","求","君","下平","kun5"
"羣","求","君","下平","kun5"
"帬","求","君","下平","kun5"
"𢂽","求","君","下平","kun5"
"裙","求","君","下平","kun5"
"脣","地","君","下平","tun5"
"唇","地","君","下平","tun5"
"漘","地","君","下平","tun5"
"豚","地","君","下平","tun5"
"豘","地","君","下平","tun5"
"屯","地","君","下平","tun5"
"魨","地","君","下平","tun5"
"臀","地","君","下平","tun5"
"吨","地","君","下平","tun5"
"軘","地","君","下平","tun5"
"盆","頗","君","下平","phun5"
"葐","頗","君","下平","phun5"
"㖹","頗","君","下平","phun5"
"湓","頗","君","下平","phun5"
"坌","他","君","下平","thun5"
"豚","他","君","下平","thun5"
"䝍","他","君","下平","thun5"
"黗","他","君","下平","thun5"
"存","曾","君","下平","tsun5"
"拵","曾","君","下平","tsun5"
"逡","曾","君","下平","tsun5"
"廵","時","君","下平","sun5"
"侚","時","君","下平","sun5"
"𠊫","時","君","下平","sun5"
"偱","時","君","下平","sun5"
"循","時","君","下平","sun5"
"徇","時","君","下平","sun5"
"狥","時","君","下平","sun5"
"洵","時","君","下平","sun5"
"淳","時","君","下平","sun5"
"惇","時","君","下平","sun5"
"恂","時","君","下平","sun5"
"詢","時","君","下平","sun5"
"旬","時","君","下平","sun5"
"峋","時","君","下平","sun5"
"珣","時","君","下平","sun5"
"㡄","時","君","下平","sun5"
"荀","時","君","下平","sun5"
"郇","時","君","下平","sun5"
"巡","時","君","下平","sun5"
"犉","時","君","下平","sun5"
"醇","時","君","下平","sun5"
"鶉","時","君","下平","sun5"
"馴","時","君","下平","sun5"
"殉","時","君","下平","sun5"
"䋸","時","君","下平","sun5"
"槆","時","君","下平","sun5"
"杊","時","君","下平","sun5"
"純","時","君","下平","sun5"
"焞","時","君","下平","sun5"
"沄","英","君","下平","un5"
"澐","英","君","下平","un5"
"縜","英","君","下平","un5"
"文","文","君","下平","bun5"
"旻","文","君","下平","bun5"
"雯","文","君","下平","bun5"
"紋","文","君","下平","bun5"
"捫","文","君","下平","bun5"
"門","文","君","下平","bun5"
"聞","文","君","下平","bun5"
"䎹","文","君","下平","bun5"
"穈","文","君","下平","bun5"
"亹","文","君","下平","bun5"
"𩑥","文","君","下平","bun5"
"輑","語","君","下平","gun5"
"犚","語","君","下平","gun5"
"㑮","喜","君","下平","hun5"
"墳","喜","君","下平","hun5"
"幩","喜","君","下平","hun5"
"汾","喜","君","下平","hun5"
"渾","喜","君","下平","hun5"
"濆","喜","君","下平","hun5"
"枌","喜","君","下平","hun5"
"蕡","喜","君","下平","hun5"
"痕","喜","君","下平","hun5"
"瘒","喜","君","下平","hun5"
"羵","喜","君","下平","hun5"
"朌","喜","君","下平","hun5"
"頒","喜","君","下平","hun5"
"焚","喜","君","下平","hun5"
"緄","喜","君","下平","hun5"
"餛","喜","君","下平","hun5"
"魂","喜","君","下平","hun5"
"㮯","喜","君","下平","hun5"
"雲","喜","君","下平","hun5"
"論","柳","君","下去","lun7"
"崙","柳","君","下去","lun7"
"崘","柳","君","下去","lun7"
"笨","邊","君","下去","pun7"
"㤓","邊","君","下去","pun7"
"体","邊","君","下去","pun7"
"𥭒","邊","君","下去","pun7"
"郡","求","君","下去","kun7"
"㖥","求","君","下去","kun7"
"遁","地","君","下去","tun7"
"腯","地","君","下去","tun7"
"屯","地","君","下去","tun7"
"偱","地","君","下去","tun7"
"遯","地","君","下去","tun7"
"沌","地","君","下去","tun7"
"鈍","地","君","下去","tun7"
"坉","他","君","下去","thun7"
"銌","曾","君","下去","tsun7"
"潤","入","君","下去","jun7"
"㠈","入","君","下去","jun7"
"閏","入","君","下去","jun7"
"媆","入","君","下去","jun7"
"嫰","入","君","下去","jun7"
"順","時","君","下去","sun7"
"運","英","君","下去","un7"
"暈","英","君","下去","un7"
"緷","英","君","下去","un7"
"鄆","英","君","下去","un7"
"韻","英","君","下去","un7"
"韵","英","君","下去","un7"
"問","文","君","下去","bun7"
"們","文","君","下去","bun7"
"聞","文","君","下去","bun7"
"悶","文","君","下去","bun7"
"紊","文","君","下去","bun7"
"汶","文","君","下去","bun7"
"謴","語","君","下去","gun7"
"𨥓","語","君","下去","gun7"
"捘","出","君","下去","tshun7"
"混","喜","君","下去","hun7"
"俒","喜","君","下去","hun7"
"分","喜","君","下去","hun7"
"渾","喜","君","下去","hun7"
"溷","喜","君","下去","hun7"
"慁","喜","君","下去","hun7"
"侓","柳","君","下入","lut8"
"律","柳","君","下入","lut8"
"𢫫","柳","君","下入","lut8"
"𢯰","柳","君","下入","lut8"
"嵂","柳","君","下入","lut8"
"膟","柳","君","下入","lut8"
"𥼁","柳","君","下入","lut8"
"繂","柳","君","下入","lut8"
"訥","柳","君","下入","lut8"
"勃","邊","君","下入","put8"
"侼","邊","君","下入","put8"
"浡","邊","君","下入","put8"
"渤","邊","君","下入","put8"
"孛","邊","君","下入","put8"
"郣","邊","君","下入","put8"
"鵓","邊","君","下入","put8"
"艴","邊","君","下入","put8"
"𩗓","邊","君","下入","put8"
"鋍","邊","君","下入","put8"
"馞","邊","君","下入","put8"
"𡋯","邊","君","下入","put8"
"挬","邊","君","下入","put8"
"滑","求","君","下入","kut8"
"愲","求","君","下入","kut8"
"汩","求","君","下入","kut8"
"崛","求","君","下入","kut8"
"僪","求","君","下入","kut8"
"倔","求","君","下入","kut8"
"掘","求","君","下入","kut8"
"猾","求","君","下入","kut8"
"磆","求","君","下入","kut8"
"鶻","求","君","下入","kut8"
"𣮈","氣","君","下入","khut8"
"淈","氣","君","下入","khut8"
"㭾","氣","君","下入","khut8"
"突","地","君","下入","tut8"
"揬","地","君","下入","tut8"
"𠊲","地","君","下入","tut8"
"𡼿","地","君","下入","tut8"
"朮","地","君","下入","tut8"
"秫","地","君","下入","tut8"
"凸","地","君","下入","tut8"
"祋","地","君","下入","tut8"
"嚉","地","君","下入","tut8"
"咄","地","君","下入","tut8"
"淈","地","君","下入","tut8"
"𥹸","頗","君","下入","phut8"
"餑","頗","君","下入","phut8"
"荸","頗","君","下入","phut8"
"崒","曾","君","下入","tsut8"
"𦬸","曾","君","下入","tsut8"
"誶","曾","君","下入","tsut8"
"秫","曾","君","下入","tsut8"
"椊","曾","君","下入","tsut8"
"述","時","君","下入","sut8"
"術","時","君","下入","sut8"
"䢤","時","君","下入","sut8"
"勿","文","君","下入","but8"
"圽","文","君","下入","but8"
"岉","文","君","下入","but8"
"𢪱","文","君","下入","but8"
"没","文","君","下入","but8"
"沒","文","君","下入","but8"
"物","文","君","下入","but8"
"莈","文","君","下入","but8"
"芴","文","君","下入","but8"
"殁","文","君","下入","but8"
"兀","語","君","下入","gut8"
"仡","語","君","下入","gut8"
"㐳","語","君","下入","gut8"
"屼","語","君","下入","gut8"
"扤","語","君","下入","gut8"
"杌","語","君","下入","gut8"
"卼","語","君","下入","gut8"
"佛","喜","君","下入","hut8"
"𠏹","喜","君","下入","hut8"
"岪","喜","君","下入","hut8"
"核","喜","君","下入","hut8"
"紇","喜","君","下入","hut8"
"𦨡","喜","君","下入","hut8"
"𠶹","喜","君","下入","hut8"
"坲","喜","君","下入","hut8"
"便","邊","堅","上平","pian1"
"編","邊","堅","上平","pian1"
"鞭","邊","堅","上平","pian1"
"邊","邊","堅","上平","pian1"
"籩","邊","堅","上平","pian1"
"𠐈","邊","堅","上平","pian1"
"堅","求","堅","上平","kian1"
"慳","求","堅","上平","kian1"
"鞬","求","堅","上平","kian1"
"䭈","求","堅","上平","kian1"
"肩","求","堅","上平","kian1"
"犍","求","堅","上平","kian1"
"豜","求","堅","上平","kian1"
"愆","氣","堅","上平","khian1"
"幵","氣","堅","上平","khian1"
"开","氣","堅","上平","khian1"
"搴","氣","堅","上平","khian1"
"褰","氣","堅","上平","khian1"
"騫","氣","堅","上平","khian1"
"牽","氣","堅","上平","khian1"
"鏗","氣","堅","上平","khian1"
"諐","氣","堅","上平","khian1"
"顛","地","堅","上平","tian1"
"傎","地","堅","上平","tian1"
"巔","地","堅","上平","tian1"
"癲","地","堅","上平","tian1"
"瘨","地","堅","上平","tian1"
"偏","頗","堅","上平","phian1"
"扁","頗","堅","上平","phian1"
"篇","頗","堅","上平","phian1"
"艑","頗","堅","上平","phian1"
"蹁","頗","堅","上平","phian1"
"翩","頗","堅","上平","phian1"
"天","他","堅","上平","thian1"
"𠀡","他","堅","上平","thian1"
"𠀘","他","堅","上平","thian1"
"靝","他","堅","上平","thian1"
"䒶","他","堅","上平","thian1"
"𦬞","他","堅","上平","thian1"
"亶","曾","堅","上平","tsian1"
"偂","曾","堅","上平","tsian1"
"邅","曾","堅","上平","tsian1"
"鸇","曾","堅","上平","tsian1"
"氈","曾","堅","上平","tsian1"
"氊","曾","堅","上平","tsian1"
"毡","曾","堅","上平","tsian1"
"鱣","曾","堅","上平","tsian1"
"饘","曾","堅","上平","tsian1"
"飦","曾","堅","上平","tsian1"
"栴","曾","堅","上平","tsian1"
"旃","曾","堅","上平","tsian1"
"煎","曾","堅","上平","tsian1"
"箋","曾","堅","上平","tsian1"
"牋","曾","堅","上平","tsian1"
"𣝕","曾","堅","上平","tsian1"
"戔","曾","堅","上平","tsian1"
"羶","曾","堅","上平","tsian1"
"綫","曾","堅","上平","tsian1"
"仙","時","堅","上平","sian1"
"僊","時","堅","上平","sian1"
"苮","時","堅","上平","sian1"
"先","時","堅","上平","sian1"
"鮮","時","堅","上平","sian1"
"鱻","時","堅","上平","sian1"
"羴","時","堅","上平","sian1"
"羶","時","堅","上平","sian1"
"𠑣","時","堅","上平","sian1"
"煙","英","堅","上平","ian1"
"烟","英","堅","上平","ian1"
"菸","英","堅","上平","ian1"
"湮","英","堅","上平","ian1"
"咽","英","堅","上平","ian1"
"胭","英","堅","上平","ian1"
"臙","英","堅","上平","ian1"
"燕","英","堅","上平","ian1"
"漹","英","堅","上平","ian1"
"嫣","英","堅","上平","ian1"
"鄢","英","堅","上平","ian1"
"淵","英","堅","上平","ian1"
"𣶒","英","堅","上平","ian1"
"鳶","英","堅","上平","ian1"
"䗡","英","堅","上平","ian1"
"焉","英","堅","上平","ian1"
"姻","英","堅","上平","ian1"
"婣","英","堅","上平","ian1"
"闉","英","堅","上平","ian1"
"甄","英","堅","上平","ian1"
"千","出","堅","上平","tshian1"
"仟","出","堅","上平","tshian1"
"芊","出","堅","上平","tshian1"
"阡","出","堅","上平","tshian1"
"𢳍","出","堅","上平","tshian1"
"蹮","出","堅","上平","tshian1"
"遷","出","堅","上平","tshian1"
"櫏","出","堅","上平","tshian1"
"躚","出","堅","上平","tshian1"
"韆","出","堅","上平","tshian1"
"燀","出","堅","上平","tshian1"
"迁","出","堅","上平","tshian1"
"軒","喜","堅","上平","hian1"
"掀","喜","堅","上平","hian1"
"仚","喜","堅","上平","hian1"
"蓒","喜","堅","上平","hian1"
"璉","柳","堅","上上","lian2"
"僆","柳","堅","上上","lian2"
"摙","柳","堅","上上","lian2"
"輦","柳","堅","上上","lian2"
"撚","柳","堅","上上","lian2"
"輾","柳","堅","上上","lian2"
"碾","柳","堅","上上","lian2"
"蹨","柳","堅","上上","lian2"
"扁","邊","堅","上上","pian2"
"匾","邊","堅","上上","pian2"
"褊","邊","堅","上上","pian2"
"砭","邊","堅","上上","pian2"
"蝙","邊","堅","上上","pian2"
"騙","邊","堅","上上","pian2"
"稨","邊","堅","上上","pian2"
"藊","邊","堅","上上","pian2"
"貶","邊","堅","上上","pian2"
"蹇","求","堅","上上","kian2"
"䮿","求","堅","上上","kian2"
"健","求","堅","上上","kian2"
"𧮈","求","堅","上上","kian2"
"謇","求","堅","上上","kian2"
"梘","求","堅","上上","kian2"
"筧","求","堅","上上","kian2"
"罥","求","堅","上上","kian2"
"囝","求","堅","上上","kian2"
"𠐻","求","堅","上上","kian2"
"𠎾","求","堅","上上","kian2"
"褰","求","堅","上上","kian2"
"䙭","求","堅","上上","kian2"
"犬","氣","堅","上上","khian2"
"畎","氣","堅","上上","khian2"
"甽","氣","堅","上上","khian2"
"𤰝","氣","堅","上上","khian2"
"遣","氣","堅","上上","khian2"
"㹂","氣","堅","上上","khian2"
"繾","氣","堅","上上","khian2"
"展","地","堅","上上","tian2"
"輾","地","堅","上上","tian2"
"典","地","堅","上上","tian2"
"惼","頗","堅","上上","phian2"
"倎","他","堅","上上","thian2"
"琠","他","堅","上上","thian2"
"腆","他","堅","上上","thian2"
"覥","他","堅","上上","thian2"
"靦","他","堅","上上","thian2"
"殄","他","堅","上上","thian2"
"蚕","他","堅","上上","thian2"
"䗝","他","堅","上上","thian2"
"翦","曾","堅","上上","tsian2"
"俴","曾","堅","上上","tsian2"
"僎","曾","堅","上上","tsian2"
"棧","曾","堅","上上","tsian2"
"踐","曾","堅","上上","tsian2"
"餞","曾","堅","上上","tsian2"
"戩","曾","堅","上上","tsian2"
"剪","曾","堅","上上","tsian2"
"揃","曾","堅","上上","tsian2"
"臇","曾","堅","上上","tsian2"
"謭","曾","堅","上上","tsian2"
"橪","入","堅","上上","jian2"
"蹨","入","堅","上上","jian2"
"洗","時","堅","上上","sian2"
"㒄","時","堅","上上","sian2"
"僤","時","堅","上上","sian2"
"箲","時","堅","上上","sian2"
"筅","時","堅","上上","sian2"
"跣","時","堅","上上","sian2"
"尠","時","堅","上上","sian2"
"洒","時","堅","上上","sian2"
"癬","時","堅","上上","sian2"
"蘚","時","堅","上上","sian2"
"毨","時","堅","上上","sian2"
"㾌","時","堅","上上","sian2"
"銑","時","堅","上上","sian2"
"燹","時","堅","上上","sian2"
"𩨡","時","堅","上上","sian2"
"獮","時","堅","上上","sian2"
"鮮","時","堅","上上","sian2"
"𣭡","時","堅","上上","sian2"
"偃","英","堅","上上","ian2"
